[2026-04-13 10:58:53 UTC] xrun -Q -unbuffered '-timescale' '1ns/1ns' '-sysv' '-access' '+rw' design.sv testbench.sv  
TOOL:	xrun	25.03-s001: Started on Apr 13, 2026 at 06:58:54 EDT
xrun: 25.03-s001: (c) Copyright 1995-2025 Cadence Design Systems, Inc.
	Top level design units:
		tb_mos2_model
Loading snapshot worklib.tb_mos2_model:sv .................... Done
xcelium> source /xcelium25.03/tools/xcelium/files/xmsimrc
xcelium> run
=================================================
 SIMULATION 1: TRANSFER CHARACTERISTICS (Ids vs Vgs)
=================================================

--- Device: L = 500 nm ---
Vgs(V)      Ids_Vds=0.1V(A)     Ids_Vds=0.5V(A)    Ids_Vds=1.0V(A)
--------    ----------------   ----------------   ----------------
 -3.500       5.459188e-14       6.494775e-14       6.504552e-14
 -3.400       1.371683e-13       1.631887e-13       1.634344e-13
 -3.300       3.446511e-13       4.100306e-13       4.106479e-13
 -3.200       8.659750e-13       1.030249e-12       1.031800e-12
 -3.100       2.175860e-12       2.588620e-12       2.592517e-12
 -3.000       5.467093e-12       6.504206e-12       6.513997e-12
 -2.900       1.373668e-11       1.634256e-11       1.636716e-11
 -2.800       3.451493e-11       4.106255e-11       4.112437e-11
 -2.700       8.672253e-11       1.031743e-10       1.033296e-10
 -2.600       2.178997e-10       2.592370e-10       2.596273e-10
 -2.500       5.474955e-10       6.513614e-10       6.523420e-10
 -2.400       1.375635e-09       1.636614e-09       1.639078e-09
 -2.300       3.456399e-09       4.112148e-09       4.118339e-09
 -2.200       8.684385e-09       1.033206e-08       1.034762e-08
 -2.100       2.181935e-08       2.595945e-08       2.599853e-08
 -2.000       5.481690e-08       6.521982e-08       6.531800e-08
 -1.900       1.376934e-07       1.638337e-07       1.640804e-07
 -1.800       3.457224e-07       4.114114e-07       4.120308e-07
 -1.700       8.671247e-07       1.032220e-06       1.033775e-06
 -1.600       2.169017e-06       2.584146e-06       2.588037e-06
 -1.500       5.369118e-06       6.421041e-06       6.430704e-06
 -1.400       1.253686e-05       1.509916e-05       1.512028e-05
 -1.300       2.808362e-05       3.377100e-05       3.379218e-05
 -1.200       5.886782e-05       7.168204e-05       7.153012e-05
 -1.100       1.115577e-04       1.417123e-04       1.404730e-04
 -1.000       1.874141e-04       2.571878e-04       2.519428e-04
 -0.900       2.807942e-04       4.276644e-04       4.124568e-04
 -0.800       3.833237e-04       6.558433e-04       6.230066e-04
 -0.700       4.879094e-04       9.361098e-04       8.807604e-04
 -0.600       5.898719e-04       1.255505e-03       1.181052e-03
 -0.500       6.865419e-04       1.597678e-03       1.518756e-03
 -0.400       7.765940e-04       1.947657e-03       1.888988e-03
 -0.300       8.595279e-04       2.294354e-03       2.287214e-03
 -0.200       9.353264e-04       2.630585e-03       2.708891e-03
 -0.100       1.004244e-03       2.952110e-03       3.148888e-03
  0.000       1.066678e-03       3.256668e-03       3.601117e-03
  0.100       1.123093e-03       3.543269e-03       4.058750e-03
  0.200       1.173972e-03       3.811723e-03       4.514940e-03
  0.300       1.219791e-03       4.062337e-03       4.963639e-03
  0.400       1.261007e-03       4.295716e-03       5.400103e-03
  0.500       1.298043e-03       4.512641e-03       5.821002e-03
  0.600       1.331294e-03       4.713985e-03       6.224255e-03
  0.700       1.361119e-03       4.900659e-03       6.608754e-03
  0.800       1.387845e-03       5.073580e-03       6.974095e-03
  0.900       1.411767e-03       5.233644e-03       7.320353e-03
  1.000       1.433154e-03       5.381717e-03       7.647917e-03
  1.100       1.452246e-03       5.518625e-03       7.957372e-03
  1.200       1.469260e-03       5.645147e-03       8.249419e-03
  1.300       1.484392e-03       5.762016e-03       8.524823e-03
  1.400       1.497818e-03       5.869920e-03       8.784373e-03
  1.500       1.509696e-03       5.969497e-03       9.028862e-03

--- Device: L = 200 nm ---
Vgs(V)      Ids_Vds=0.1V(A)     Ids_Vds=0.5V(A)    Ids_Vds=1.0V(A)
--------    ----------------   ----------------   ----------------
 -3.500       4.330740e-13       5.024191e-13       5.032144e-13
 -3.400       1.065082e-12       1.235626e-12       1.237582e-12
 -3.300       2.619413e-12       3.038840e-12       3.043650e-12
 -3.200       6.442060e-12       7.473580e-12       7.485408e-12
 -3.100       1.584330e-11       1.838017e-11       1.840926e-11
 -3.000       3.896425e-11       4.520331e-11       4.527484e-11
 -2.900       9.582682e-11       1.111708e-10       1.113467e-10
 -2.800       2.356718e-10       2.734081e-10       2.738406e-10
 -2.700       5.795995e-10       6.724062e-10       6.734698e-10
 -2.600       1.425437e-09       1.653681e-09       1.656296e-09
 -2.500       3.505636e-09       4.066968e-09       4.073398e-09
 -2.400       8.621516e-09       1.000202e-08       1.001784e-08
 -2.300       2.120290e-08       2.459805e-08       2.463692e-08
 -2.200       5.214280e-08       6.049266e-08       6.058823e-08
 -2.100       1.282222e-07       1.487575e-07       1.489925e-07
 -2.000       3.152521e-07       3.657568e-07       3.663345e-07
 -1.900       7.747681e-07       8.989846e-07       9.004052e-07
 -1.800       1.902136e-06       2.207676e-06       2.211173e-06
 -1.700       4.658221e-06       5.409910e-06       5.418515e-06
 -1.600       1.132295e-05       1.316794e-05       1.318571e-05
 -1.500       2.646552e-05       3.066918e-05       3.058041e-05
 -1.400       5.910007e-05       6.845533e-05       6.779100e-05
 -1.300       1.236170e-04       1.454377e-04       1.428594e-04
 -1.200       2.348504e-04       2.877590e-04       2.803597e-04
 -1.100       3.971437e-04       5.206649e-04       5.038540e-04
 -1.000       5.995163e-04       8.578775e-04       8.269553e-04
 -0.900       8.234198e-04       1.296923e-03       1.250563e-03
 -0.800       1.052088e-03       1.821627e-03       1.765808e-03
 -0.700       1.274000e-03       2.408339e-03       2.358404e-03
 -0.600       1.482428e-03       3.032369e-03       3.012182e-03
 -0.500       1.674008e-03       3.672161e-03       3.711416e-03
 -0.400       1.847509e-03       4.310784e-03       4.442055e-03
 -0.300       2.002971e-03       4.935795e-03       5.192136e-03
 -0.200       2.141155e-03       5.538487e-03       5.951720e-03
 -0.100       2.263202e-03       6.113076e-03       6.712631e-03
  0.000       2.370421e-03       6.655989e-03       7.468154e-03
  0.100       2.464166e-03       7.165295e-03       8.212783e-03
  0.200       2.545757e-03       7.640273e-03       8.942023e-03
  0.300       2.616445e-03       8.081066e-03       9.652235e-03
  0.400       2.677386e-03       8.488432e-03       1.034052e-02
  0.500       2.729640e-03       8.863547e-03       1.100461e-02
  0.600       2.774163e-03       9.207857e-03       1.164283e-02
  0.700       2.811816e-03       9.522977e-03       1.225396e-02
  0.800       2.843368e-03       9.810604e-03       1.283725e-02
  0.900       2.869507e-03       1.007246e-02       1.339228e-02
  1.000       2.890842e-03       1.031026e-02       1.391897e-02
  1.100       2.907919e-03       1.052567e-02       1.441750e-02
  1.200       2.921217e-03       1.072028e-02       1.488826e-02
